Symbol,Company Name,Price Performance (52 Weeks),Total Return (1 Yr Annualized),Beta (1 Year Annualized),Standard Deviation (1 Yr Annualized)
ABCB,Ameris Bancorp,20.20245,21.67428,1.13774,0.32654
ACNB,ACNB ,15.53073,19.31016,1.321868,0.37699
ADKT,Adirondack Trust ,0.0,0.0,0.0,0.0
ALBY,mmunity Capital Bancshares ,16.18947,20.96438,0.0,0.0
BCTF,Bancorp 34 ,46.86391,46.86391,0.296373,0.25296
AMBZ,American Business Bank/CA,21.69528,117.28105,-0.543463,0.20983
HTH,Hilltop Holdings ,-2.44216,-0.29771,0.763401,0.25947
AROW,Arrow Financial ,7.77096,12.26864,1.019308,0.33152
ASB,Associated Banc-,4.27833,8.27182,1.232906,0.30823
ASRV,AmeriServ Financial ,4.72103,9.72346,0.369671,0.39305
ATLO,Ames National ,-10.22438,-5.76492,0.843633,0.2627
AUBN,Auburn National Bancorporation ,15.74513,21.84517,0.395361,0.3009
BANF,BancFirst ,27.83866,30.07981,0.900156,0.32677
BANR,Banner ,35.19268,39.80722,1.109512,0.33743
TFC,Truist Financial ,6.90644,12.13196,1.00195,0.25395
BCBP,BCB Bancorp ,-3.90244,1.72548,0.935665,0.35011
BHB,Bar Harbor Bankshares,16.34803,21.00027,1.031207,0.35557
BHLB,Berkshire Hills Bancorp ,17.25843,20.47305,0.82124,0.30159
BHRB,Burke & Herbert Financial Services ,2.09663,5.80505,0.802661,0.37887
BKSC,Bank of South Carolina ,8.8,15.27924,-0.173416,0.21784
BMRC,Bank of Marin Bancorp,33.61806,40.26804,1.007299,0.40055
BNCC,BNCCORP ,38.22894,53.826,0.533327,0.29452
BOH,Bank of Hawaii ,12.41176,17.09118,0.51607,0.26818
BOTJ,Bank of the James Financial Group ,44.6184,49.18737,0.515177,0.34292
BOKF,BOK Financial ,13.21107,15.66676,0.997616,0.2687
BPOP,Popular ,4.24485,7.22134,1.015409,0.27249
BRBS,Blue Ridge Bankshares ,11.88811,11.88811,1.227651,0.36672
BRKL,Brookline Bancorp ,12.16495,17.97384,0.613562,0.29227
BSRR,Sierra Bancorp,43.44008,48.65947,1.238636,0.37685
BUSE,First Busey ,-8.13458,-4.42729,0.957627,0.29908
BVFL,BV Financial ,46.77575,46.77575,0.371492,0.17972
CADE,Cadence Bank,5.8844,9.46821,1.291018,0.30672
BYFC,Broadway Financial ,20.86207,20.86207,1.171098,0.42579
CAC,Camden National ,25.36616,31.1788,1.065574,0.31191
CASH,Pathward Financial ,47.50599,47.94523,1.059183,0.303
CATY,Cathay General Bancorp,16.01192,19.63742,0.897053,0.29017
CBAN,lony Bankcorp ,45.56054,50.33643,1.419461,0.34469
CBKM,nsumers Bancorp ,22.8017,27.90779,0.021127,0.14466
CBSH,mmerce Bancshares ,24.46594,32.66965,0.700704,0.23967
CBU,mmunity Financial System ,20.36841,24.4409,0.994223,0.35206
CCBG,Capital City Bank Group,29.90214,33.4555,0.68344,0.29129
CCFN,Muncy lumbia Financial ,35.48387,42.32236,0.384472,0.3096
CCNE,CNB Financial /PA,11.1996,14.57509,1.164566,0.33958
CFFI,C&F Financial ,36.17803,40.20207,0.989335,0.441
CFFN,Capitol Federal Financial ,-2.25694,3.51343,0.833381,0.30654
CFR,Cullen/Frost Bankers ,10.47602,13.95698,0.797611,0.28068
CHBH,Croghan Bancshares ,1.21413,6.33832,0.0,0.0
CHCO,City Holding ,13.7764,16.85346,0.67628,0.22908
CHMG,Chemung Financial ,12.29371,15.28912,0.404484,0.29592
CIZN,Citizens Holding ,3.18471,9.13077,0.080375,0.28758
CMTV,mmunity Bancorp/VT,6.64251,12.87636,-0.239594,0.20588
CBFV,CB Financial Services ,30.53645,35.57479,0.700203,0.27101
CNAF,mmercial National Financial ,-28.64424,-22.46216,0.014162,0.29661
CNOB,nnectOne Bancorp ,27.08661,31.02649,1.004366,0.40752
CNBW,CNB ,0.0,0.0,0.0,0.0
CNND,Canandaigua National ,0.0,0.0,0.0,0.0
CNUN,mmunity Bancshares /OH,0.0,0.0,0.0,0.0
CARV,Carver Bancorp ,-7.41935,-7.41935,-0.157901,0.58796
COFS,ChoiceOne Financial Services ,5.89552,9.81893,0.795499,0.35985
COLB,lumbia Banking System ,31.16057,38.98639,0.953723,0.35901
CPF,Central Pacific Financial .,39.26729,44.82301,1.007629,0.2943
CPKF,Chesapeake Financial Shares ,11.29944,15.1532,0.256799,0.18016
SMBK,SmartFinancial ,51.39501,53.06888,1.17194,0.32023
CTBI,mmunity Trust Bancorp ,21.59309,26.30966,0.906189,0.29126
CVBF,CVB Financial ,5.79461,10.47149,1.142103,0.31885
CWBC,mmunity West Bancshares,-7.43719,-5.08434,0.578193,0.29391
CWBK,CW Bancorp,13.23333,16.39367,0.0,0.0
CYSM,mmunity Bancorp Santa Maria,18.96226,21.81919,0.0,0.0
CZFS,Citizens Financial Services ,20.87298,26.59419,1.862508,0.57142
CZNB,Citizens Bancorp/CA,0.0,0.0,0.0,0.0
CZNC,Citizens & Northern ,10.15453,16.51776,1.174517,0.34185
CZWI,Citizens mmunity Bancorp ,19.19606,21.89484,0.49309,0.22068
DBIN,Dacotah Banks ,1.21212,3.0639,0.0,0.0
DCOM,Dime mmunity Bancshares ,50.56482,56.61714,1.247106,0.37807
EBMT,Eagle Bancorp Montana ,31.22066,36.3198,0.856259,0.25756
EBTC,Enterprise Bancorp /MA,53.7762,58.50607,1.215276,0.39072
EFSI,Eagle Financial Services ,10.58505,14.78972,0.064954,0.17629
EGBN,Eagle Bancorp ,-7.87159,-2.79177,0.979027,0.41631
ENBP,ENB Financial ,10.18213,14.81874,-0.229182,0.28054
EVBN,Evans Bancorp ,31.75468,36.23522,1.151834,0.27459
EWBC,East West Bancorp ,13.72901,16.64162,0.969638,0.29245
HWBK,Hawthorn Bancshares ,32.53817,36.61156,0.359803,0.34303
FBAK,First National Bank Alaska,17.78726,26.93365,0.241907,0.14164
FBIP,FNB Bancorp ,0.0,0.0,0.0,0.0
FBNC,First Bancorp/NC,13.63122,16.24532,0.968226,0.31906
FBP,First Ban (Puerto Rico),10.86077,14.57742,0.929273,0.27904
FBPA,Farmers Bank of Appomattox (The),3.5158,8.0363,0.0,0.0
FBSI,First Bancshares ,-7.40741,-7.40741,0.0,0.0
FBTT,First Bankers Trustshares ,-4.95677,0.34011,0.0,0.0
FCAP,First Capital ,34.3058,39.05869,-0.370167,0.30964
FCBC,First mmunity Bancshares ,13.56086,22.43708,1.070702,0.33273
FCCO,First mmunity ,30.11002,33.72228,0.992992,0.37447
FCF,First mmonwealth Financial .,14.00293,17.66619,0.85678,0.313
CIVB,Civista Bancshares ,31.85484,36.80924,0.932662,0.38346
FDBC,Fidelity D & D Bancorp ,-8.9111,-5.95612,0.836197,0.37817
FDVA,Freedom Financial Holdings ,0.99085,0.99085,0.310484,0.12858
FFBC,First Financial Bancorp.,13.33333,17.49735,0.882707,0.3205
FFIC,Flushing Financial ,0.71656,7.18113,1.266286,0.43053
FFIN,First Financial Bankshares ,10.63236,12.96651,0.965722,0.34579
FGFH,Foresight Financial Group ,12.58741,15.26284,-0.005144,0.09647
FGBI,First Guaranty Bancshares ,-24.70703,-22.6152,0.658174,0.45246
FHN,First Horizon ,27.94118,32.53756,1.264703,0.33904
FISI,Financial Institutions ,35.7377,42.88815,1.193662,0.37607
INBK,First Internet Bancorp,-20.11256,-19.46556,1.369652,0.43089
FIZN,First Citizens Bancshares ,0.0,0.0,0.0,0.0
FLIC,First of Long Island  (The),14.51163,22.92017,0.843317,0.346
FMAO,Farmers & Merchants Bancorp ,11.39654,14.29115,1.351491,0.40799
FMBH,First Mid Bancshares ,9.24238,12.03381,0.855483,0.27736
FMBL,Farmers & Merchants Bank/CA,19.58333,22.46262,0.131434,0.18112
FMBM,F & M Bank ,11.43194,17.46744,-0.054742,0.2729
FMCB,Farmers & Merchants Bancorp,4.64811,6.51351,0.223924,0.14783
FMNB,Farmers National Banc /OH,-0.15175,4.85618,0.959039,0.33641
FMOO,F & M Bancorp (Ohio),5.80645,8.6335,0.0,0.0
FNB,F.N.B. ,-2.89436,0.27404,1.183853,0.29724
FNLC,First Bancorp /ME (The),1.96802,7.86706,0.910786,0.34291
FNRN,First Northern mmunity Bancorp,18.37209,18.37209,-0.230257,0.11908
BANC,Banc of California ,-3.01783,-0.26841,1.158673,0.29229
FRAF,Franklin Financial Services ,36.27565,41.61239,-0.191881,0.33461
FRBKQ,Republic First Bancorp ,-94.33962,-94.33962,-3.793273,4.20103
FRME,First Merchants ,17.72115,22.08959,0.946987,0.3406
FSDK,First Citizens National Bank,-2.75229,-0.03414,0.0,0.0
FULT,Fulton Financial ,13.72925,18.18955,1.18457,0.33907
FUNC,First United ,30.13579,34.19126,0.739861,0.37522
BFC,Bank First ,22.7432,24.92854,1.184848,0.29747
FXNC,First National /VA,37.77916,42.06869,0.468403,0.2606
GABA,Georgia Bancshares ,0.0,0.0,0.0,0.0
GABC,German American Bancorp ,11.41838,14.65689,0.839696,0.29058
GBCI,Glacier Bancorp ,13.41055,16.95341,1.109532,0.32238
GCBC,Greene unty Bancorp ,-13.45794,-12.45386,0.948372,0.42079
CFBK,CF Bankshares ,12.54499,13.98021,1.233349,0.33326
GFCJ,Guaranty Financial ,0.0,0.0,0.0,0.0
GLBZ,Glen Burnie Bancorp,-5.91497,-1.99664,-0.065379,0.33264
GNTY,Guaranty Bancshares ,34.12992,37.96045,1.105157,0.32778
GOVB,Gouverneur Bancorp ,19.53488,20.38491,0.0,0.0
GSBC,Great Southern Bancorp ,5.7554,8.74421,0.898751,0.29003
SFST,Southern First Bankshares ,8.72859,8.72859,0.99057,0.40287
HACBY,Hachijuni Bank Ltd,1.42857,2.63981,0.0,0.0
HAFC,Hanmi Financial ,45.51323,53.05687,0.872252,0.34117
HARL,Harleysville Financial ,2.70019,8.70845,0.210367,0.16688
HBAN,Huntington Bancshares ,8.88565,13.87148,0.934188,0.27778
HWC,Hancock Whitney ,15.4754,19.14479,1.076093,0.31831
HBNC,Horizon Bancorp ,21.64119,27.47082,0.929374,0.34442
HFBL,Home Federal Bancorp/LA,5.26316,9.70695,0.428884,0.25884
HFWA,Heritage Financial ,28.0295,33.48994,0.68753,0.33736
HIFS,Hingham Institution for Savings,35.92842,37.44497,1.209441,0.38518
HTBK,Heritage mmerce ,12.48514,18.69426,0.858396,0.31477
IBCP,Independent Bank ,25.30463,29.30273,1.00611,0.35037
IBOC,International Bancshares ,12.0702,14.54595,1.130626,0.325
ISBA,Isabella Bank ,20.85041,27.31827,0.31316,0.17586
INDB,Independent Bank .,22.99213,27.87162,0.913211,0.35151
MOFG,MidWestOne Financial Group ,28.23323,32.77333,1.055663,0.35131
JDVB,JD Bancshares ,0.0,0.0,0.0,0.0
JFBC,Jeffersonville Bancorp,8.60889,13.27659,0.471138,0.24562
JBTC,JBT Bancorp ,16.27907,20.95377,0.375594,0.22216
JUVF,Juniata Valley Financial ,-1.86235,5.30775,0.319216,0.29141
KEFI,Keweenaw Financial ,0.0,0.0,0.0,0.0
KFFB,Kentucky First Federal Bancorp,-21.47563,-21.47563,-0.107761,0.36521
KISB,Kish Bancorp ,6.55738,11.81887,-0.101719,0.15944
KRNY,Kearny Financial ,-0.47695,6.36198,1.269207,0.39095
KTHN,Katahdin Bankshares ,6.35556,9.81225,0.0,0.0
LARK,Landmark Bancorp ,47.9917,61.49943,0.242824,0.23786
LCNB,LCNB ,-1.19522,4.46502,0.568224,0.32165
LKFN,Lakeland Financial ,-8.3798,-5.66585,0.791653,0.29815
MBCN,Middlefield Banc ,14.35244,17.93183,1.342779,0.47357
SOHI,Sortis Holdings ,0.0,0.0,0.0,0.0
MPB,Mid Penn Bancorp ,28.34331,32.20577,0.923063,0.29783
MBVA,Millennium Bankshares ,0.0,0.0,0.0,0.0
MBWM,Mercantile Bank ,16.07048,19.91855,1.204758,0.37932
MNAT,Marquette National ,3.85321,9.25447,0.0,0.0
MTB,M&T Bank ,23.14621,26.89344,0.754832,0.26711
MVBF,MVB Financial ,-21.9457,-19.25725,1.287871,0.41633
MVLY,Mission Valley Bancorp,10.75812,10.75812,0.0,0.0
HOPE,Hope Bancorp ,-6.82226,-2.41533,1.006327,0.30592
NASB,NASB Financial ,13.31269,16.48132,0.205971,0.0
NBN,Northeast Bank,65.04449,65.13175,1.279808,0.37175
NBTB,NBT Bancorp ,18.55556,22.08629,0.945979,0.3093
NKSH,National Bankshares ,-24.82659,-21.1102,1.066895,0.30384
NRIM,Northrim Ban ,51.67042,57.29816,1.406172,0.43009
NWFL,Norwood Financial .,-13.85479,-9.8559,0.706908,0.31756
FNWD,Finward Bancorp,17.6637,19.76897,-0.096279,0.206
NWBI,Northwest Bancshares ,5.70175,12.44734,0.721921,0.26103
FLG,Flagstar Financial ,19.52233,20.22301,1.558201,0.54935
OCFC,OceanFirst Financial .,7.52688,12.68469,1.179,0.32717
OFG,OFG Bancorp,11.16992,14.05192,0.800866,0.28777
ONB,Old National Bancorp,26.24625,29.81795,1.283949,0.3255
OPHC,OptimumBank Holdings ,-2.90557,-2.90557,0.790263,0.2785
OPOF,Old Point Financial ,74.12791,79.00551,0.279867,0.31896
OBT,Orange unty Bancorp ,0.16757,2.00786,1.211212,0.42031
ORRF,Orrstown Financial Services ,13.58592,16.87171,0.730993,0.27126
OSBC,Old Second Bancorp ,22.58303,24.22382,0.648006,0.28298
OVBC,Ohio Valley Banc .,14.97281,19.34785,0.018085,0.34532
OVLY,Oak Valley Bancorp,3.48548,5.55631,0.756737,0.31109
OZK,Bank OZK,-3.34225,0.36111,1.21338,0.35621
PABN,Panamerican Bancorp-Old,0.0,0.0,0.0,0.0
PBHC,Pathfinder Bancorp ,38.11475,41.93626,0.370351,0.31596
PEBK,Peoples Bancorp of North Carolina .,-3.54331,-0.42515,0.675077,0.3082
PEBO,Peoples Bancorp ,3.20334,8.62673,1.076251,0.27712
PFBC,Preferred Bank of Los Angeles,10.15769,14.20353,0.941223,0.29995
PFBX,Peoples Financial /MS,24.19355,27.39261,0.0,0.0
PFIS,Penseco Financial Services ,8.1999,13.36207,1.14578,0.36827
PFLC,Pacific Financial ,7.07269,12.67668,0.187865,0.14496
PFS,Provident Financial Services ,18.47002,24.86849,1.068053,0.33684
PGC,Peapack-Gladstone Financial ,19.63771,20.46867,1.03872,0.37543
RNST,Renasant ,10.75374,13.73637,0.9204,0.29485
PKBK,Parke Bancorp ,10.97345,15.47541,0.753818,0.32776
PLBC,Plumas Bancorp,20.17132,23.44095,0.849853,0.36331
PNBK,Patriot National Bancorp ,-67.56032,-67.56032,1.44728,0.79553
PNFP,Pinnacle Financial Partners ,25.35902,26.5144,1.321755,0.34473
PPBI,Pacific Premier Bancorp ,-8.44294,-3.44057,1.117315,0.3502
PPBN,Pinnacle Bankshares ,16.14545,20.06222,0.0,0.0
PRK,Park National ,16.1128,19.43575,1.088758,0.32327
PROV,Provident Financial Holdings ,6.61278,10.87051,0.263723,0.17864
PB,Prosperity Bancshares ,9.78717,13.46639,0.71803,0.24706
